,Unnamed: 0.1,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
387,387,58,901005642203609,305.5322192374118,-56.16861355189255,2.5777950286865234,0.0389960221946239,9.129145244169209,-999999.0,18.069385528564453,17.546436309814453,17.382868941786164,17.227846145629883,20.84555290060608,-99999.0,False,2.3139646942451275,A3667,0.0,,,,,,,,,,,,,,0.6865165867782892,10.311180114746094,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,18,2,8.0,320511.9839282148,64582.05128138563,20,304.11402461826043,-56.45437484074824,False
388,388,63,901005642007352,304.76652493498904,-56.25667191545125,14.55441188812256,0.0129055883735418,8.508828125117583,-999999.0,16.375991821289062,15.869965553283691,16.503078798293764,15.57659149169922,22.927813541226257,-99999.0,False,1.671157786799674,A3667,0.0,,,,,,,,,,,,,,-0.1270869770047014,58.21764755249024,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,147465.07158066492,44680.86111711908,20,304.11402461826043,-56.45437484074824,False
389,389,75,901005885806161,304.0545681492283,-55.57661448195737,5.099532127380371,0.01477986946702,9.45181944807034,-999999.0,16.155176162719727,15.460256576538086,15.02232081150015,14.981274604797363,20.24078291933368,-99999.0,False,2.107265664346486,A3667,0.0,,,,,,,,,,,,,,1.1328553512195771,20.398128509521484,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,18,2,8.0,-13437.16200125766,198373.8410867357,20,304.11402461826043,-56.45437484074824,False
390,390,133,901005804106768,305.00081463906645,-55.79299707735717,4.803679466247559,0.054557841271162,10.043197868407775,-999999.0,16.718738555908203,16.136642456054688,15.891477518855377,15.745784759521484,20.78738724105695,-99999.0,False,2.287326193368548,A3667,1.0,,,,,,,,,,,,,,0.8272610370528284,19.214717864990234,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,200414.54470216003,149471.37452638088,20,304.11402461826043,-56.45437484074824,False
391,391,142,901005561800527,304.98326857041445,-56.47316771559596,4.335258483886719,0.0388227105140686,9.03369809424868,-999999.0,18.03555488586425,17.554088592529297,17.394565171752514,17.275165557861328,21.98203825827269,-99999.0,False,1.689846361620878,A3667,0.0,,,,,,,,,,,,,,0.6409897141117433,17.341033935546875,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,8.0,196449.13318680905,-4247.189715586117,20,304.11402461826043,-56.45437484074824,False
392,392,158,901005481702207,303.4049255699068,-56.83793716307821,2.822673082351685,0.0597328692674636,9.904129938440224,-999999.0,17.95048713684082,17.26021957397461,16.88729888801226,16.80939483642578,20.756397164417884,-99999.0,False,0.2481715183132954,A3667,1.0,,,,,,,,,,,,,,1.0631882488285598,11.290692329406738,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,-160256.3849279153,-86685.08484657368,20,304.11402461826043,-56.45437484074824,False
393,393,165,901005561702952,304.644325697588,-56.57364464028227,7.445931911468506,0.0359283350408077,8.691922923456238,-999999.0,18.5632381439209,18.06662368774414,18.10722567968484,17.79888343811035,23.66909367218391,-99999.0,False,1.3644551570640928,A3667,0.0,,,,,,,,,,,,,,0.4560124642360605,29.783727645874023,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,119848.043928028,-26954.974694691016,20,304.11402461826043,-56.45437484074824,False
394,394,177,901005803709219,303.3538163727724,-55.76037137979401,4.15534257888794,0.0410955548286438,8.909991603010445,-999999.0,18.50109100341797,17.96202278137207,17.883328226519705,17.653640747070312,22.297931633777296,-99999.0,False,1.6710582559889,A3667,0.0,,,,,,,,,,,,,,0.6177627768982639,16.621370315551758,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,19,1,8.0,-171807.06348028843,156844.78217565556,20,304.11402461826043,-56.45437484074824,False
395,395,221,901005482005059,304.8974043379003,-56.79700053716687,4.127313613891602,0.0553232803940773,10.194614659657432,-999999.0,17.51700210571289,16.65289306640625,16.317868915008482,16.0623722076416,20.97410509811121,-99999.0,True,1.5186671503381546,A3667,1.0,,,,,,,,,,,,,,1.1991331907044085,16.509254455566406,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,177043.81663861012,-77433.40739061184,20,304.11402461826043,-56.45437484074824,False
396,396,224,901005481708367,303.659896841243,-56.69480906841536,3.5080459117889404,0.0533730331808328,9.789935350241226,-999999.0,18.33894157409668,17.470922470092773,17.27806986278304,16.884506225585938,21.439123494776616,-99999.0,True,0.50859569316432,A3667,1.0,,,,,,,,,,,,,,1.0608717113136414,14.032183647155762,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,-102632.87760594313,-54338.13545276979,20,304.11402461826043,-56.45437484074824,False
397,397,263,901005323802114,303.9273095503331,-57.26661410343736,3.725290060043335,0.0557026971905092,10.409784735554997,-999999.0,16.964160919189453,16.089340209960938,15.851216725995338,15.492016792297363,20.188015359764663,-99999.0,True,0.9700321481006696,A3667,1.0,,,,,,,,,,,,,,1.1129441931941155,14.90116024017334,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,-42197.605351571954,-183566.0733677424,20,304.11402461826043,-56.45437484074824,False
398,398,321,901005642106024,305.2011118539219,-56.13410473272408,2.806156635284424,0.0630615428090095,10.438417396761064,-999999.0,17.67987823486328,16.67294692993164,16.211029415955224,15.911550521850586,20.15638115671299,-99999.0,True,2.090799375606989,A3667,1.0,,,,,,,,,,,,,,1.4688488189080573,11.224626541137695,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,245681.71525948605,72381.04441345877,20,304.11402461826043,-56.45437484074824,False
399,399,134,901005641709832,303.5418932963904,-56.1814025046824,5.69438362121582,0.0338351875543594,9.019139329051429,-999999.0,17.83355712890625,17.31523895263672,17.29772394914248,17.023090362548828,22.3353472418629,-99999.0,False,1.0686164970513323,A3667,0.0,,,,,,,,,,,,,,0.5358331797637703,22.77753448486328,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,19,1,9.0,310801.9861798346,-70294.07991564137,21,302.166663269046,-55.87036675284328,False
400,400,97,901005721808330,300.66151534791373,-56.045275954519376,3.96170973777771,0.0564624145627021,9.906147016519894,-999999.0,17.438533782958984,16.78325843811035,16.49535559316249,16.328458786010742,21.015546384617387,-99999.0,False,2.433143274223513,A3667,1.0,,,,,,,,,,,,,,0.9431781897964946,15.84683895111084,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-340163.43017589464,-39529.47957879725,21,302.166663269046,-55.87036675284328,False
401,401,114,901005641210664,301.32546835591575,-56.25928001479202,1.903841495513916,0.0157210249453783,9.029731326627378,-999999.0,20.08269691467285,18.99193954467773,16.884702667803683,18.516590118408203,21.63296816805996,-99999.0,False,1.7688434218855025,A3667,0.0,,,,,,,,,,,,,,3.197994246869168,7.615365982055664,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,15,1,9.0,-190110.05036744016,-87894.39720041456,21,302.166663269046,-55.87036675284328,False
402,402,106,901005803207577,301.0331937841686,-55.84984691410034,2.453289270401001,0.0155007485300302,9.052915414786824,-999999.0,17.432456970214844,16.63825798034668,16.27774202224512,16.09372329711914,19.82987645923325,-99999.0,False,2.350012354541789,A3667,0.0,,,,,,,,,,,,,,1.1547149479697223,9.813157081604004,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,19,1,5.0,-256164.10358229768,4637.483555904879,21,302.166663269046,-55.87036675284328,False
403,403,115,901005641110349,300.8873099213427,-56.23885307966162,4.0279412269592285,0.015647605061531,8.171251595670292,-999999.0,18.42515182495117,17.958911895751953,17.899578715250154,17.215229034423828,22.227202202444456,-99999.0,False,2.116672832716741,A3667,0.0,,,,,,,,,,,,,,0.5255731097010177,16.111764907836914,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,19,1,9.0,-289133.8565809473,-83277.90986094369,21,302.166663269046,-55.87036675284328,False
