,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
419,32,901006475402106,313.83419333802044,-53.78422712724782,4.086511611938477,0.0441589020192623,9.6958626239121,-999999.0,17.432647705078125,16.780513763427734,16.51811171843581,16.358613967895508,21.08015213174628,-99999.0,False,2.0385965972669178,A3716,1.0,,,,,,,,,,,,,,0.9145359866423136,16.346046447753906,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,43074.984234007614,-95316.70480461577,22,313.6435960626487,-53.36247179625394,False
420,90,901006475401031,313.783459360852,-53.66540165062902,3.691596746444702,0.0430888459086418,9.90288360469451,-999999.0,17.054489135742188,16.3758544921875,16.1072831683302,15.86263942718506,20.45480044669061,-99999.0,False,1.8253855408187352,A3716,1.0,,,,,,,,,,,,,,0.947205967411989,14.766386985778809,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,31609.105393944672,-68462.14708876803,22,313.6435960626487,-53.36247179625394,False
421,115,901006475504467,314.3678286565389,-53.74876169493956,4.120211601257324,0.0065375780686736,7.534629992790196,-999999.0,17.30318260192871,17.136962890625,16.909516066651605,17.084617614746094,21.454435175461203,-99999.0,False,2.2941916155080326,A3716,0.0,,,,,,,,,,,,,,0.3936665352771058,16.480846405029297,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,163676.56621918036,-87301.51710294967,22,313.6435960626487,-53.36247179625394,False
422,153,901006389800469,313.4311420560526,-54.04052813833131,7.841859340667725,0.0494081042706966,9.760111440490258,-999999.0,16.55485725402832,16.085376739501953,16.280704655582202,15.776778221130373,21.800346661734267,-99999.0,False,2.337170399566324,A3716,1.0,,,,,,,,,,,,,,0.2741525984461184,31.3674373626709,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,-48014.6054907292,-153240.73330948537,22,313.6435960626487,-53.36247179625394,False
423,237,901006304708113,313.0013211572802,-54.14333796702373,6.906477451324463,0.0485269045694271,10.983446478184074,-999999.0,15.75123405456543,14.74661922454834,14.419337405817728,14.020184516906738,20.185776897483287,-99999.0,True,2.475440343347548,A3716,1.0,,,,,,,,,,,,,,1.331896648747703,27.62590980529785,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,8.0,-145154.12861328956,-176475.75459397273,22,313.6435960626487,-53.36247179625394,False
424,43,901006647606037,312.855701853438,-53.14806080991269,3.733141183853149,0.0232483483850955,8.411339283534952,-999999.0,17.977205276489258,17.639713287353516,17.564536436300013,17.496000289916992,21.742960043296986,-99999.0,False,0.7182704240014929,A3716,0.0,,,,,,,,,,,,,,0.4126688401892444,14.932564735412598,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,14,0,1.0,-178064.09128162262,48456.8829131224,22,313.6435960626487,-53.36247179625394,True
425,86,901006561403243,314.1137657777936,-53.52436360375567,3.5686557292938232,0.0066842199303209,8.010123501888922,-999999.0,16.95022964477539,16.5205078125,16.27006192736955,16.330413818359375,20.52590576066025,-99999.0,False,1.8156796547087035,A3716,0.0,,,,,,,,,,,,,,0.6801677174058405,14.274622917175291,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,20,0,1.0,106258.3556227454,-36587.54849538981,22,313.6435960626487,-53.36247179625394,True
426,156,901006648107212,315.00180753635647,-53.17555214054651,3.1123263835906982,0.0487198829650878,9.667824626609956,-999999.0,17.63616943359375,17.047229766845703,16.759474277028474,16.662717819213867,20.75553012018186,-99999.0,False,2.274973678482473,A3716,1.0,,,,,,,,,,,,,,0.8766951565652761,12.449305534362791,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,14,0,1.0,306955.79305794934,42243.842189880226,22,313.6435960626487,-53.36247179625394,True
427,289,901006647502917,312.3061264923578,-53.22719837657889,9.041027069091797,0.0406990396275534,10.56708419424078,-999999.0,15.871261596679688,15.0441255569458,14.73474990520483,14.433931350708008,21.06808908635788,-99999.0,True,1.1252204389418372,A3716,1.0,,,,,,,,,,,,,,1.1365116914748583,36.16410827636719,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,5,0,1.0,-302268.1228857481,30571.792846561708,22,313.6435960626487,-53.36247179625394,True
428,134,901006647509765,312.5948187967206,-53.26828658404131,3.638713121414185,0.0448190420866012,9.786153558079342,-999999.0,17.711454391479492,16.965656280517578,16.692857973403978,16.47555160522461,21.013270046589643,-99999.0,False,1.0139982766249058,A3716,1.0,,,,,,,,,,,,,,1.0185964180755145,14.554852485656738,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,5,0,1.0,-237023.6620997623,21285.8579600542,22,313.6435960626487,-53.36247179625394,True
